sample	species	fq
CPYG1_001	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_001_wQz078QlDgUk.fastq.gz
CPYG1_002	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_002_myW9lltCDznc.fastq.gz
CPYG1_003	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_003_iuxSKW4gZiN8.fastq.gz
CPYG1_004	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_004_W72Vf2rhllKo.fastq.gz
CPYG1_005	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_005_BTU3etZGMV6l.fastq.gz
CPYG1_006	Calibrachoa pygmaea	fastqs/CPYG1_L3_R1_006_yq0RGTjZ3HuI.fastq.gz
CPYG2_001	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_001_7GYHU2KOaocq.fastq.gz
CPYG2_002	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_002_R4vsoKMR8RL6.fastq.gz
CPYG2_003	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_003_touDYmpxfe5o.fastq.gz
CPYG2_004	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_004_rHuAyEdHLtdO.fastq.gz
CPYG2_005	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_005_SYINtXSmZ2GO.fastq.gz
CPYG2_006	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_006_vtegsaCURlLu.fastq.gz
CPYG2_007	Calibrachoa pygmaea	fastqs/CPYG2_L4_R1_007_p82o0h5ninai.fastq.gz
CPYG3_001	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_001_hHQyciDd2ZEb.fastq.gz
CPYG3_002	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_002_JQFMjUa271Oz.fastq.gz
CPYG3_003	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_003_kXIyXB11RBQw.fastq.gz
CPYG3_004	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_004_v2ZEi3yNTP9C.fastq.gz
CPYG3_005	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_005_9yBVAFZKLjdc.fastq.gz
CPYG3_006	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_006_cJDEvXpdttgS.fastq.gz
CPYG3_007	Calibrachoa pygmaea	fastqs/CPYG3_L5_R1_007_3eZzg5pNLaJJ.fastq.gz
